"","00:00:00","00:05:00","00:10:00","00:15:00","00:20:00","00:25:00","00:30:00","00:35:00","00:40:00","00:45:00","00:50:00","00:55:00","01:00:00","01:05:00","01:10:00","01:15:00","01:20:00","01:25:00","01:30:00","01:35:00","01:40:00","01:45:00","01:50:00","01:55:00","02:00:00","02:05:00","02:10:00","02:15:00","02:20:00","02:25:00","02:30:00","02:35:00","02:40:00","02:45:00","02:50:00","02:55:00","03:00:00","03:05:00","03:10:00","03:15:00","03:20:00","03:25:00","03:30:00","03:35:00","03:40:00","03:45:00","03:50:00","03:55:00","04:00:00","04:05:00","04:10:00","04:15:00","04:20:00","04:25:00","04:30:00","04:35:00","04:40:00","04:45:00","04:50:00","04:55:00","05:00:00","05:05:00","05:10:00","05:15:00","05:20:00","05:25:00","05:30:00","05:35:00","05:40:00","05:45:00","05:50:00","05:55:00","06:00:00","06:05:00","06:10:00","06:15:00","06:20:00","06:25:00","06:30:00","06:35:00","06:40:00","06:45:00","06:50:00","06:55:00","07:00:00","07:05:00","07:10:00","07:15:00","07:20:00","07:25:00","07:30:00","07:35:00","07:40:00","07:45:00","07:50:00","07:55:00","08:00:00","08:05:00","08:10:00","08:15:00","08:20:00","08:25:00","08:30:00","08:35:00","08:40:00","08:45:00","08:50:00","08:55:00","09:00:00","09:05:00","09:10:00","09:15:00","09:20:00","09:25:00","09:30:00","09:35:00","09:40:00","09:45:00","09:50:00","09:55:00","10:00:00","10:05:00","10:10:00","10:15:00","10:20:00","10:25:00","10:30:00","10:35:00","10:40:00","10:45:00","10:50:00","10:55:00","11:00:00","11:05:00","11:10:00","11:15:00","11:20:00","11:25:00","11:30:00","11:35:00","11:40:00","11:45:00","11:50:00","11:55:00","12:00:00","12:05:00","12:10:00","12:15:00","12:20:00","12:25:00"
"time","00:00:00","00:05:00","00:10:00","00:15:00","00:20:00","00:25:00","00:30:00","00:35:00","00:40:00","00:45:00","00:50:00","00:55:00","01:00:00","01:05:00","01:10:00","01:15:00","01:20:00","01:25:00","01:30:00","01:35:00","01:40:00","01:45:00","01:50:00","01:55:00","02:00:00","02:05:00","02:10:00","02:15:00","02:20:00","02:25:00","02:30:00","02:35:00","02:40:00","02:45:00","02:50:00","02:55:00","03:00:00","03:05:00","03:10:00","03:15:00","03:20:00","03:25:00","03:30:00","03:35:00","03:40:00","03:45:00","03:50:00","03:55:00","04:00:00","04:05:00","04:10:00","04:15:00","04:20:00","04:25:00","04:30:00","04:35:00","04:40:00","04:45:00","04:50:00","04:55:00","05:00:00","05:05:00","05:10:00","05:15:00","05:20:00","05:25:00","05:30:00","05:35:00","05:40:00","05:45:00","05:50:00","05:55:00","06:00:00","06:05:00","06:10:00","06:15:00","06:20:00","06:25:00","06:30:00","06:35:00","06:40:00","06:45:00","06:50:00","06:55:00","07:00:00","07:05:00","07:10:00","07:15:00","07:20:00","07:25:00","07:30:00","07:35:00","07:40:00","07:45:00","07:50:00","07:55:00","08:00:00","08:05:00","08:10:00","08:15:00","08:20:00","08:25:00","08:30:00","08:35:00","08:40:00","08:45:00","08:50:00","08:55:00","09:00:00","09:05:00","09:10:00","09:15:00","09:20:00","09:25:00","09:30:00","09:35:00","09:40:00","09:45:00","09:50:00","09:55:00","10:00:00","10:05:00","10:10:00","10:15:00","10:20:00","10:25:00","10:30:00","10:35:00","10:40:00","10:45:00","10:50:00","10:55:00","11:00:00","11:05:00","11:10:00","11:15:00","11:20:00","11:25:00","11:30:00","11:35:00","11:40:00","11:45:00","11:50:00","11:55:00","12:00:00","12:05:00","12:10:00","12:15:00","12:20:00","12:25:00"
"hour","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","3","3","3","3","3","3","3","3","3","3","3","3","4","4","4","4","4","4","4","4","4","4","4","4","5","5","5","5","5","5","5","5","5","5","5","5","6","6","6","6","6","6","6","6","6","6","6","6","7","7","7","7","7","7","7","7","7","7","7","7","8","8","8","8","8","8","8","8","8","8","8","8","9","9","9","9","9","9","9","9","9","9","9","9","10","10","10","10","10","10","10","10","10","10","10","10","11","11","11","11","11","11","11","11","11","11","11","11","12","12","12","12","12","12"
"minute","0","5","10","15","20","25","30","35","40","45","50","55","0","5","10","15","20","25","30","35","40","45","50","55","0","5","10","15","20","25","30","35","40","45","50","55","0","5","10","15","20","25","30","35","40","45","50","55","0","5","10","15","20","25","30","35","40","45","50","55","0","5","10","15","20","25","30","35","40","45","50","55","0","5","10","15","20","25","30","35","40","45","50","55","0","5","10","15","20","25","30","35","40","45","50","55","0","5","10","15","20","25","30","35","40","45","50","55","0","5","10","15","20","25","30","35","40","45","50","55","0","5","10","15","20","25","30","35","40","45","50","55","0","5","10","15","20","25","30","35","40","45","50","55","0","5","10","15","20","25"
"second","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"380nm","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"400nm","2","2","0","1","1","2","1","0","2","2","2","0","1","0","1","2","0","1","2","2","0","2","2","2","1","0","0","0","0","0","1","1","0","1","2","0","2","2","2","1","0","1","0","2","1","1","2","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"420nm","191","291","183","194","292","119","145","199","271","291","170","130","117","225","179","130","294","216","277","206","182","189","140","295","311","259","263","198","279","121","143","143","228","249","238","129","121","312","266","208","170","232","221","313","137","234","151","175","189","277","829","834","858","844","833","847","851","859","830","824","849","861","846","843","859","834","831","837","824","837","850","824","858","854","837","850","849","854","849","839","842","859","826","834","849","838","825","851","860","823","839","851","841","829","845","860","825","841","849","834","682","765","744","684","684","737","783","715","760","726","707","683","730","737","770","697","740","759","726","722","779","686","773","723","688","691","709","696","712","682","688","767","704","691","684","719","713","732","714","754","682","753","751","781","723","750","746","697","745","722"
"450nm","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"530nm","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"620nm","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","1","1","0","1","1","0","1","1","1","1","0","1","1","0","0","0","0","0","0","1","1","1","0","0","0","1","0","0","1","1","0","0","1","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
